X1,X2,X3,X4,X5,X6,X7,X8
POLKA,PK-CAP,1,-M,Stefan Kirchmair,KIRCHMAIR - KIRCHMAIR - LETOUR,8,519
POLKA,PK-CAP,2,-M,Mark Elding,BL13 - BL13 - LETOUR,8,487
POLKA,PK-CAP,3,-M,Ben Russell,WLECOL - WLECOL - LETOUR,8,464
POLKA,PK-CAP,4,-M,Teppo Laurio,WLECOL - WLECOL - LETOUR,8,461
POLKA,PK-CAP,5,-M,Daniel Mundell,BL13 - BL13 - LETOUR,8,444
POLKA,PK-CAP,6,-M,Nico Peller,KIRCHMAIR - KIRCHMAIR - LETOUR,8,420
POLKA,PK-CAP,7,-M,Arne,COALITION - Beta,8,412
POLKA,PK-CAP,8,-M,Rinus Verhelle,RELENTLESS - Taipan,8,406
POLKA,PK-CAP,9,-M,Andrew Dinsmore,TFC - TFC Harriers,8,386
POLKA,PK-CAP,10,-M,Ritter Moritz,SWM - SWM - LETOUR,7,386
POLKA,PK-CAP,11,-M,Brett boniface,OMG - OMG avec WEZ,6,384
POLKA,PK-CAP,12,-M,Arend Cocquyt,BAKPDL - BP1,8,384
POLKA,PK-CAP,13,-M,Cedric RICHARD,HEX - HEX - LETOUR,8,384
POLKA,PK-CAP,14,-M,Diogo Calçada,FRR - Spectre,8,383
POLKA,PK-CAP,15,-M,Kjell Gunnar Gjerdal,EVOLUTION - Warriors,8,378
POLKA,PK-CAP,16,-M,Thomas Wagner,FRR - Spectre,7,378
POLKA,PK-CAP,17,-M,J. Carton CLS. CAP,TEAMCLS - Vitesse verte,8,369
POLKA,PK-CAP,18,-M,Kalle Kadens,FRR - Spectre,8,368
POLKA,PK-CAP,19,-M,Petar Dashev [CAP],FRR - Spectre,8,362
POLKA,PK-CAP,20,-M,Charles-Olivier Laporte,OPT - Velo Optimum,8,361
POLKA,PK-CAP,21,-M,James Skulczuk,BURRITO - BURRITO - LETOUR,8,360
POLKA,PK-CAP,22,-M,Christian Grupp,TALENTF - TALENTF - LETOUR,8,360
POLKA,PK-CAP,23,-M,a.lex,TALENTF - TALENTF - LETOUR,8,355
POLKA,PK-CAP,24,-M,Alex Lemp,TALENTF - TALENTF - LETOUR,8,347
POLKA,PK-CAP,25,-M,Michael Gamst,BL13 - BL13 - LETOUR,7,341
POLKA,PK-CAP,26,-M,Michel Pinto machado,FRR - Spectre,8,341
POLKA,PK-CAP,27,-M,Tim Shields,ABR - ABR Bloobo webdesign,8,339
POLKA,PK-CAP,28,-M,Unknow Fellow,FRR - Spectre,8,336
POLKA,PK-CAP,29,-M,Daniel Pinto,OMG - OMG avec WEZ,8,333
