X1,X2,X3,X4,X5,X6,X7,X8
SPRINT,SP-CAP,1,-M,Jared Benney (ABR),ABR - ABR Bloobo webdesign,8,394
SPRINT,SP-CAP,2,-M,Stefan Kirchmair,KIRCHMAIR - KIRCHMAIR - LETOUR,8,378
SPRINT,SP-CAP,3,-M,Tobias van Toledo,EVOLUTION - Warriors,8,366
SPRINT,SP-CAP,4,-M,Kelsey smith,RELENTLESS - Taipan,8,361
SPRINT,SP-CAP,5,-M,Teppo Laurio,WLECOL - WLECOL - LETOUR,8,357
SPRINT,SP-CAP,6,-M,Nico Peller,KIRCHMAIR - KIRCHMAIR - LETOUR,8,341
SPRINT,SP-CAP,7,-M,JP Durand,5W4T - 5W4T,6,337
SPRINT,SP-CAP,8,-M,Daniel Mundell,BL13 - BL13 - LETOUR,8,324
SPRINT,SP-CAP,9,-M,James Skulczuk,BURRITO - BURRITO - LETOUR,8,311
SPRINT,SP-CAP,10,-M,Ritter Moritz,SWM - SWM - LETOUR,7,310
SPRINT,SP-CAP,11,-M,Francis Cayouette,5W4T - 5W4T,7,302
SPRINT,SP-CAP,12,-M,Andrew Dinsmore,TFC - TFC Harriers,8,298
SPRINT,SP-CAP,13,-M,Duncan Johnson,OTR - Octopi,7,293
SPRINT,SP-CAP,14,-M,Charles-Olivier Laporte,OPT - Velo Optimum,8,263
SPRINT,SP-CAP,15,-M,Ben Soja,KIRCHMAIR - KIRCHMAIR - LETOUR,8,261
SPRINT,SP-CAP,16,-M,Ben Russell,WLECOL - WLECOL - LETOUR,8,253
SPRINT,SP-CAP,17,-M,Dom clarke,BURRITO - BURRITO - LETOUR,8,249
SPRINT,SP-CAP,18,-M,Joris Voorn,ZSUNR - ZSUNR - LETOUR,8,244
SPRINT,SP-CAP,19,-M,Mark Talbot,COALITION - Le Tour,8,243
SPRINT,SP-CAP,20,-M,Paul Kearney,TEAMCLS - Vitesse verte,8,238
SPRINT,SP-CAP,21,-M,Arend Cocquyt,BAKPDL - BP1,8,237
SPRINT,SP-CAP,22,-M,Arne,COALITION - Beta,8,236
SPRINT,SP-CAP,23,-M,Alex Lemp,TALENTF - TALENTF - LETOUR,8,234
SPRINT,SP-CAP,24,-M,Gustav Lindqvist,FRR - Spectre,8,234
SPRINT,SP-CAP,25,-M,Unknow Fellow,FRR - Spectre,8,234
