X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
ST-2,SP-CAP,1,-M,FUEGO FORWARD,Jared Benney (ABR),ABR - ABR Bloobo webdesign,1134w @11.90wkg,30.012,50
ST-2,SP-CAP,2,-M,FUEGO FORWARD,Tobias van Toledo,EVOLUTION - Warriors,918w @10.60wkg,30.145,46
ST-2,SP-CAP,3,-M,FUEGO FORWARD,Kelsey smith,RELENTLESS - Taipan,960w @12.40wkg,30.4,43
ST-2,SP-CAP,4,-M,FUEGO FORWARD,Ritter Moritz,SWM - SWM - LETOUR,729w @10.10wkg,30.576,41
ST-2,SP-CAP,5,-M,FUEGO FORWARD,Stefan Kirchmair,KIRCHMAIR - KIRCHMAIR - LETOUR,727w @11.20wkg,30.65,40
ST-2,SP-CAP,6,-M,FUEGO FORWARD,James Skulczuk,BURRITO - BURRITO - LETOUR,817w @8.70wkg,30.798,39
ST-2,SP-CAP,7,-M,FUEGO FORWARD,Andrew Dinsmore,TFC - TFC Harriers,689w @10.50wkg,30.969,38
ST-2,SP-CAP,8,-M,FUEGO FORWARD,Brett boniface,OMG - OMG avec WEZ,721w @11.60wkg,31.031,37
ST-2,SP-CAP,9,-M,FUEGO FORWARD,Dom clarke,BURRITO - BURRITO - LETOUR,723w @9.50wkg,31.085,36
ST-2,SP-CAP,10,-M,FUEGO FORWARD,Alex Lemp,TALENTF - TALENTF - LETOUR,813w @9.80wkg,31.127,35
ST-2,SP-CAP,11,-M,FUEGO FORWARD,Peter Mogg,OMG - OMG avec WEZ,659w @10.80wkg,31.237,33
ST-2,SP-CAP,12,-M,FUEGO FORWARD,Gustav Lindqvist,FRR - Spectre,639w @11.10wkg,31.32,33
ST-2,SP-CAP,13,-M,FUEGO FORWARD,Hugues Joannis,5W4T - 5W4T,751w @10.70wkg,31.338,33
ST-2,SP-CAP,14,-M,FUEGO FORWARD,Aaron Girdlestone,EVOLUTION - Warriors,767w @10.20wkg,31.403,33
ST-2,SP-CAP,15,-M,FUEGO FORWARD,James Bowtell,CRCAF - CRCAF - LETOUR,813w @10.50wkg,31.435,33
ST-2,SP-CAP,16,-M,FUEGO FORWARD,Kjell Gunnar Gjerdal,EVOLUTION - Warriors,758w @9.40wkg,31.446,33
ST-2,SP-CAP,17,-M,FUEGO FORWARD,Michael Greiner,OMG - OMG avec WEZ,911w @10.60wkg,31.493,33
ST-2,SP-CAP,18,-M,FUEGO FORWARD,Joris Voorn,ZSUNR - ZSUNR - LETOUR,627w @9.90wkg,31.511,33
ST-2,SP-CAP,19,-M,FUEGO FORWARD,Teppo Laurio,WLECOL - WLECOL - LETOUR,688w @10.50wkg,31.596,33
ST-2,SP-CAP,20,-M,FUEGO FORWARD,Duncan Johnson,OTR - Octopi,747w @10.50wkg,31.645,33
ST-2,SP-CAP,21,-M,FUEGO FORWARD,Mark Talbot,COALITION - Le Tour,643w @8.80wkg,31.653,31
ST-2,SP-CAP,22,-M,FUEGO FORWARD,Michel Rivard,5W4T - 5W4T,696w @9.80wkg,31.656,31
ST-2,SP-CAP,23,-M,FUEGO FORWARD,Samuel Le Dortz,BL13 - BL13 - LETOUR,661w @10.00wkg,31.86,31
ST-2,SP-CAP,24,-M,FUEGO FORWARD,Schwaiger Christian,SWM - SWM - LETOUR,718w @10.30wkg,31.863,31
ST-2,SP-CAP,25,-M,FUEGO FORWARD,JP Durand,5W4T - 5W4T,721w @9.20wkg,31.919,31
ST-2,SP-CAP,26,-M,FUEGO FORWARD,Francis Cayouette,5W4T - 5W4T,848w @10.90wkg,31.997,31
ST-2,SP-CAP,27,-M,FUEGO FORWARD,Nico Peller,KIRCHMAIR - KIRCHMAIR - LETOUR,720w @10.70wkg,32.035,31
ST-2,SP-CAP,28,-M,FUEGO FORWARD,Daniel Mundell,BL13 - BL13 - LETOUR,565w @8.90wkg,32.351,31
ST-2,SP-CAP,29,-M,FUEGO FORWARD,Christian Grupp,TALENTF - TALENTF - LETOUR,753w @9.00wkg,32.465,31
ST-2,SP-CAP,30,-M,FUEGO FORWARD,Ben Soja,KIRCHMAIR - KIRCHMAIR - LETOUR,546w @9.00wkg,32.512,31
ST-2,SP-CAP,31,-M,FUEGO FORWARD,Patrick Schaefer,OTR - Snowflakes,542w @8.10wkg,32.595,29
ST-2,SP-CAP,32,-M,FUEGO FORWARD,Paul Kearney,TEAMCLS - Vitesse verte,629w @8.40wkg,32.805,29
ST-2,SP-CAP,33,-M,FUEGO FORWARD,e Harris,TFC - TFC Harriers,627w @7.80wkg,32.956,29
ST-2,SP-CAP,34,-M,FUEGO FORWARD,Thomas Davison,EVOLUTION - Warriors,561w @7.60wkg,32.965,29
ST-2,SP-CAP,35,-M,FUEGO FORWARD,Steve Shipman,Race3R - ACDC,756w @9.80wkg,32.995,29
ST-2,SP-CAP,36,-M,FUEGO FORWARD,a.lex,TALENTF - TALENTF - LETOUR,523w @7.30wkg,33.134,29
ST-2,SP-CAP,37,-M,FUEGO FORWARD,Diogo Calçada,FRR - Spectre,580w @8.50wkg,33.162,29
ST-2,SP-CAP,38,-M,FUEGO FORWARD,Mark de Bruijn,RELENTLESS - Taipan,533w @7.10wkg,33.197,29
ST-2,SP-CAP,39,-M,FUEGO FORWARD,David Henderson,OMG - OMG avec WEZ,652w @9.40wkg,33.228,29
